2019 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($)
107,AZA,Phoenix - Mesa Gateway,Phoenix,AZ,137.92
108,LEX,Blue Grass,Lexington,KY,406.82
109,BTV,Burlington International,Burlington,VT,401.41
110,HSV,Huntsville International-Carl T Jones Field,Huntsville,AL,560.19
111,AVL,Asheville Regional,Asheville,NC,312.27
112,EUG,Mahlon Sweet Field,Eugene,OR,379.83
113,MAF,Midland International Air and Space Port,Midland/Odessa,TX,495.3
114,CAE,Columbia Metropolitan,Columbia,SC,473.45
115,FSD,Joe Foss Field,Sioux Falls,SD,409.59
116,BZN,Bozeman Yellowstone International,Bozeman,MT,394.58
117,CHA,Lovell Field,Chattanooga,TN,421.22
118,SGF,Springfield-Branson National,Springfield,MO,417.47
119,PGD,Punta Gorda Airport,Punta Gorda,FL,132.14
120,MFR,Rogue Valley International - Medford,Medford,OR,369.23
121,ILM,Wilmington International,Wilmington,NC,429.08
122,JAN,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,501.99
123,ABE,Lehigh Valley International,Allentown/Bethlehem/Easton,PA,311.47
124,VPS,Eglin AFB Destin Fort Walton Beach,Valparaiso,FL,393.13
125,LBB,Lubbock Preston Smith International,Lubbock,TX,429.42
126,FAR,Hector International,Fargo,ND,440.73
127,TTN,Trenton Mercer,Trenton,NJ,130.39
128,RDM,Roberts Field,Bend/Redmond,OR,390.55
129,ACY,Atlantic City International,Atlantic City,NJ,131.96
130,MFE,McAllen Miller International,Mission/McAllen/Edinburg,TX,441.88
131,FAI,Fairbanks International,Fairbanks,AK,413.91
132,ITO,Hilo International,Hilo,HI,262.33
133,PSC,Tri Cities,Pasco/Kennewick/Richland,WA,417.45
134,SBN,South Bend International,South Bend,IN,376.07
135,SBA,Santa Barbara Municipal,Santa Barbara,CA,460.95
136,PAE,Snohomish County,Everett,WA,263.84
137,CAK,Akron-Canton Regional,Akron,OH,356.01
138,FWA,Fort Wayne International,Fort Wayne,IN,405.84
139,BLI,Bellingham International,Bellingham,WA,239.96
140,BIL,Billings Logan International,Billings,MT,436.18
141,MSO,Missoula International,Missoula,MT,388.09
142,ECP,Northwest Florida Beaches International,Panama City,FL,396.56
143,ATW,Appleton International,Appleton,WI,419.91
